name,halal_status,source
 BAKERZ LAB,halal,singapore halal directory
 BAKTECH FOOD SERVICE & SUPPLIES,halal,singapore halal directory
 BALI THAI RESTAURANT,halal,singapore halal directory
 BALI THAI RESTAURANT (CAUSEWAY POINT),halal,singapore halal directory
 BALI THAI RESTAURANT (IMM BUILDING),halal,singapore halal directory
 BALI THAI RESTAURANT (NEX),halal,singapore halal directory
 BALI THAI RESTAURANT (NGEE ANN CITY),halal,singapore halal directory
 BALI THAI RESTAURANT (RWS),halal,singapore halal directory
 BALI THAI RESTAURANT (SELETAR MALL),halal,singapore halal directory
 BALI THAI RESTAURANT (SUNTEC CITY MALL),halal,singapore halal directory
 BALI THAI RESTAURANT (WATERWAY POINT),halal,singapore halal directory
 BAN KAH FOOK FOODSTUFF MANUFACTURER & TRADING,halal,singapore halal directory
 BAN MIAN & FISH SOUP (S8) @ COOK HOUSE BY KOUFU,halal,singapore halal directory
 BAN MIAN (S12) @ MATRIX CAFETERIA ITE COLLEGE WEST,halal,singapore halal directory
 BAN MIAN (S2) @ FORK & SPOON TOA PAYOH,halal,singapore halal directory
 BAN MIAN (S6) @ CANTINE JURONG POINT,halal,singapore halal directory
 BAN MIAN (S7) @ KOPITIAM VIVO CITY,halal,singapore halal directory
 BAN MIAN (S9)@FOODJUNCTION ONE KM,halal,singapore halal directory
 BAN MIAN CONGEE (S8) @ CANTINE PAYA LEBAR SQUARE,halal,singapore halal directory
 BAN MIAN FISH SOUP (S9) @ FORK & SPOON,halal,singapore halal directory
 BAN MIAN/FISH SOUP (S8)@ FOODJUNCTION LOT ONE,halal,singapore halal directory
 BANANA LEAF CURRY (S4) @ KOPITIAM,halal,singapore halal directory
 BANGLA KITCHEN @ GREENFIELD DORM,halal,singapore halal directory
 BANQUET KITCHEN 1 @ 35 ARTILLERY SENTOSA,halal,singapore halal directory
 BAR-B-Q TONIGHT,halal,singapore halal directory
 BAR-B-Q TONIGHT (ROBERTS LANE),halal,singapore halal directory
 BARRAMUNDI ASIA PTE LTD,halal,singapore halal directory
 BARRY CALLEBAUT CHOCOLATE ASIA PACIFIC PTE LTD,halal,singapore halal directory
 BAYU RESTAURANT,halal,singapore halal directory
 BBQ (S6) @ STAR RASA @ CHANGI VILLAGE,halal,singapore halal directory
 BBQ HOUSE,halal,singapore halal directory
 BBQ SEAFOOD (STALL 6) - RASA RASA @ KAMPONG CHANGI,halal,singapore halal directory
 BBQ WHOLESALE CENTRE PTE LTD,halal,singapore halal directory
 BEAN CITY FOODSTUFF PTE LTD,halal,singapore halal directory
 BEBEK GORENG PAK NDUT,halal,singapore halal directory
 BEBEK GORENG PAK NDUT (TAMPINES ONE),halal,singapore halal directory
 BEE HIANG FOOD INDUSTRIES,halal,singapore halal directory
 BEE HUAT FOOD PTE LTD,halal,singapore halal directory
 BEEF NOODLE (S5) @ FOODFARE SSH,halal,singapore halal directory
 BEEF NOODLES (S7) @ CANTINE JURONG POINT,halal,singapore halal directory
 BEEMA STALL HOT & COLD DRINKS,halal,singapore halal directory
 BELL FLAVORS & FRAGRANCES SINGAPORE PTE. LTD.,halal,singapore halal directory
 BELLYGOOD CATERER,halal,singapore halal directory
 BEN FOODS (S) PTE LTD,halal,singapore halal directory
 BENG SAN FOOD INDUSTRY SUPPLIER PTE LTD,halal,singapore halal directory
 BERTSCHI SINGAPORE PTE LTD,halal,singapore halal directory
 BEST WORLD INTERNATIONAL LTD,halal,singapore halal directory
 BETTER 4U HOLDINGS PTE LTD,halal,singapore halal directory
 BETTER BAKER,halal,singapore halal directory
" BEV, DESS, FRU, DIM SUM (S1) @ STAFF CANTEEN BY KOPITIAM CA T2",halal,singapore halal directory
" BEV, FRUITS, DESS & VALUE SET (S1) @ ON THE RIDGE BY KOPITIAM NUH",halal,singapore halal directory
 BEVERAGE SECTION @ STRAITS KITCHEN,halal,singapore halal directory
 BEVERAGES (S1) @ SEDAP PASIR RIS WEST PLAZA,halal,singapore halal directory
 BEVERAGES @ SPIZE,halal,singapore halal directory
 BEVERAGES CORNER (B2) @ TAKASHIMAYA (MNGD BY THE WOK PEOPLE),halal,singapore halal directory
 BEVERAGES DESSERTS (S1) @ BAGUS CAUSEWAY POINT,halal,singapore halal directory
 BHF PTE LTD,halal,singapore halal directory
 BIBIK CATERERS,halal,singapore halal directory
 BIG SPRING DAY SEAFOOD TRADING PTE LTD,halal,singapore halal directory
 BIGWEST FOOD (S) PTE LTD,halal,singapore halal directory
 BIOVATE RESEARCH (S) PTE LTD,halal,singapore halal directory
 BLENDS PTE LTD,halal,singapore halal directory
 BLISS GROUP PTE LTD,halal,singapore halal directory
 BLISSHOUSE THEME RESTAURANT,halal,singapore halal directory
 BOLEH! BOLEH!,halal,singapore halal directory
 BONCAFE INTERNATIONAL PTE LTD,halal,singapore halal directory
 BOON LAY CAFE,halal,singapore halal directory
 BORREGAARD S.E.A. PTE LTD,halal,singapore halal directory
 BPASTRIEZ,halal,singapore halal directory
 BRASTAGI NASI PADANG & CAFE,halal,singapore halal directory
 BREAD FRESH,halal,singapore halal directory
 BREAD FRESH (BUKIT PANJANG NEW TOWN),halal,singapore halal directory
 BREAD FRESH (YISHUN RING RD),halal,singapore halal directory
 BREAD JUNCTION,halal,singapore halal directory
 BREAD JUNCTION (PUNGGOL DRIVE),halal,singapore halal directory
 BREAD JUNCTION (SEGAR RD),halal,singapore halal directory
 BREAD JUNCTION (TAMPINES ST 21),halal,singapore halal directory
 BREAD JUNCTION (YISHUN),halal,singapore halal directory
 BREAD N BETTER PTE LTD,halal,singapore halal directory
 BREAD-GARDEN,halal,singapore halal directory
 BREAD-GARDEN (WOODLANDS MART),halal,singapore halal directory
 BREAD-GARDEN (YISHUN AVE 11),halal,singapore halal directory
 BREADTALK PTE LTD,halal,singapore halal directory
 BREADWERKS,halal,singapore halal directory
 BREADWERKS (BEDOK MARKET PLACE),halal,singapore halal directory
 BREEZE CAFE & ICE CREAM STOP,halal,singapore halal directory
 BREWERS COFFEE PTE LTD,halal,singapore halal directory
 BRINDAS,halal,singapore halal directory
 BRINDAS (BUKIT MERAH),halal,singapore halal directory
 BRIO,halal,singapore halal directory
 BRISKET KING BEEF NOODLE (S13) @ FOODREPUBLIC CITY SQUARE MALL,halal,singapore halal directory
 BROSON CATERING PTE LTD,halal,singapore halal directory
 BUCKMAN LABORATORIES (ASIA) PTE LTD,halal,singapore halal directory
 BUKIT PANJANG NASI PADANG (S27) @ BUKIT PANJANG HAWKER CENTRE & MARKET,halal,singapore halal directory
 BUMBU RESTAURANT,halal,singapore halal directory
 BUMBU RESTAURANT (QUEENS RD),halal,singapore halal directory
 BUMBU RESTAURANT (TELOK AYER ST),halal,singapore halal directory
 BUN TIMES,halal,singapore halal directory
 BUN TIMES (CENTURY SQUARE),halal,singapore halal directory
 BUN TIMES (TIONG BAHRU PLAZA),halal,singapore halal directory
 BURGER KING SINGAPORE PTE LTD,halal,singapore halal directory
 BURGER KING SINGAPORE PTE LTD (AMK HUB),halal,singapore halal directory
 BURGER KING SINGAPORE PTE LTD (BUGIS VILLAGE),halal,singapore halal directory
 BURGER KING SINGAPORE PTE LTD (BUKIT PANJANG PLAZA),halal,singapore halal directory
 BURGER KING SINGAPORE PTE LTD (BURLINGTON SQUARE),halal,singapore halal directory
 BURGER KING SINGAPORE PTE LTD (CATHAY CINELEISURE ORCHARD),halal,singapore halal directory
 BURGER KING SINGAPORE PTE LTD (CHANGI AIRPORT T1),halal,singapore halal directory
 BURGER KING SINGAPORE PTE LTD (CHANGI AIRPORT T2),halal,singapore halal directory
 BURGER KING SINGAPORE PTE LTD (CHANGI AIRPORT T3),halal,singapore halal directory
 BURGER KING SINGAPORE PTE LTD (COMPASS ONE),halal,singapore halal directory
 BURGER KING SINGAPORE PTE LTD (ESPLANADE MRT),halal,singapore halal directory
 BURGER KING SINGAPORE PTE LTD (FAIRPRICE HUB),halal,singapore halal directory
 BURGER KING SINGAPORE PTE LTD (FUCHUN COMMUNITY CLUB),halal,singapore halal directory
 BURGER KING SINGAPORE PTE LTD (HDB HUB),halal,singapore halal directory
 BURGER KING SINGAPORE PTE LTD (HITACHI TOWER),halal,singapore halal directory
 BURGER KING SINGAPORE PTE LTD (IMM BUILDING),halal,singapore halal directory
 BURGER KING SINGAPORE PTE LTD (JEM),halal,singapore halal directory
 BURGER KING SINGAPORE PTE LTD (JURONG POINT SHOPPING CENTRE),halal,singapore halal directory
 BURGER KING SINGAPORE PTE LTD (KITCHENER COMPLEX),halal,singapore halal directory
 BURGER KING SINGAPORE PTE LTD (LEISURE PARK),halal,singapore halal directory
 BURGER KING SINGAPORE PTE LTD (NOVENA SQUARE),halal,singapore halal directory
 BURGER KING SINGAPORE PTE LTD (ONE@KENTRIDGE),halal,singapore halal directory
 BURGER KING SINGAPORE PTE LTD (PAYA LEBAR SQUARE),halal,singapore halal directory
 BURGER KING SINGAPORE PTE LTD (PLAZA SINGAPURA),halal,singapore halal directory
 BURGER KING SINGAPORE PTE LTD (PSA BUILDING),halal,singapore halal directory
 BURGER KING SINGAPORE PTE LTD (SEMBAWANG SHOPPING CENTRE),halal,singapore halal directory
 BURGER KING SINGAPORE PTE LTD (SINGAPORE EXPO),halal,singapore halal directory
 BURGER KING SINGAPORE PTE LTD (SPORTS HUB RETAIL MART),halal,singapore halal directory
 BURGER KING SINGAPORE PTE LTD (SUNTEC CITY MALL),halal,singapore halal directory
 BURGER KING SINGAPORE PTE LTD (TAMPINES MALL),halal,singapore halal directory
 BURGER KING SINGAPORE PTE LTD (TAMPINES NORTH COMMUNITY CLUB),halal,singapore halal directory
 BURGER KING SINGAPORE PTE LTD (THE CENTRAL),halal,singapore halal directory
 BURGER KING SINGAPORE PTE LTD (VIVA BUSINESS PARK),halal,singapore halal directory
