halal_status,name,source
haram,Keebler,Muslim consumer group product list
haram,Keebler,Muslim consumer group product list
haram,Keebler,Muslim consumer group product list
haram,Keebler,Muslim consumer group product list
"<img src=""media/icons/exclaim.png"" alt=""exclaim"" title=""exclaim"" width=""16"" height=""16"">",Keebler,Muslim consumer group product list
halal,Keebler,Muslim consumer group product list
"<img src=""media/icons/exclaim.png"" alt=""exclaim"" title=""exclaim"" width=""16"" height=""16"">",Keebler,Muslim consumer group product list
"<img src=""media/icons/exclaim.png"" alt=""exclaim"" title=""exclaim"" width=""16"" height=""16"">",Keebler,Muslim consumer group product list
haram,Keebler,Muslim consumer group product list
haram,Keebler,Muslim consumer group product list
"<img src=""media/icons/exclaim.png"" alt=""exclaim"" title=""exclaim"" width=""16"" height=""16"">",Keebler,Muslim consumer group product list
haram,Keebler,Muslim consumer group product list
haram,Keebler,Muslim consumer group product list
haram,Keebler,Muslim consumer group product list
haram,Keebler,Muslim consumer group product list
haram,Keebler,Muslim consumer group product list
"<img src=""media/icons/exclaim.png"" alt=""exclaim"" title=""exclaim"" width=""16"" height=""16"">",Keebler,Muslim consumer group product list
haram,Keebler,Muslim consumer group product list
"<img src=""media/icons/exclaim.png"" alt=""exclaim"" title=""exclaim"" width=""16"" height=""16"">",Keebler,Muslim consumer group product list
"<img src=""media/icons/exclaim.png"" alt=""exclaim"" title=""exclaim"" width=""16"" height=""16"">",Keebler,Muslim consumer group product list
haram,Keebler,Muslim consumer group product list
haram,Keebler,Muslim consumer group product list
"<img src=""media/icons/exclaim.png"" alt=""exclaim"" title=""exclaim"" width=""16"" height=""16"">",Keebler,Muslim consumer group product list
haram,Keebler,Muslim consumer group product list
haram,Keebler,Muslim consumer group product list
haram,Keebler,Muslim consumer group product list
halal,Keebler,Muslim consumer group product list
halal,Keebler,Muslim consumer group product list
haram,Famous Amos,Muslim consumer group product list
haram,Famous Amos,Muslim consumer group product list
haram,Famous Amos,Muslim consumer group product list
haram,Keebler,Muslim consumer group product list
"<img src=""media/icons/exclaim.png"" alt=""exclaim"" title=""exclaim"" width=""16"" height=""16"">",Nabisco,Muslim consumer group product list
haram,Nabisco,Muslim consumer group product list
haram,Nabisco,Muslim consumer group product list
haram,Nabisco,Muslim consumer group product list
"<img src=""media/icons/exclaim.png"" alt=""exclaim"" title=""exclaim"" width=""16"" height=""16"">",Nabisco,Muslim consumer group product list
haram,Nabisco,Muslim consumer group product list
haram,Nabisco,Muslim consumer group product list
haram,Nabisco,Muslim consumer group product list
haram,Nabisco,Muslim consumer group product list
"<img src=""media/icons/exclaim.png"" alt=""exclaim"" title=""exclaim"" width=""16"" height=""16"">",Nabisco,Muslim consumer group product list
"<img src=""media/icons/exclaim.png"" alt=""exclaim"" title=""exclaim"" width=""16"" height=""16"">",Nabisco,Muslim consumer group product list
"<img src=""media/icons/exclaim.png"" alt=""exclaim"" title=""exclaim"" width=""16"" height=""16"">",Nabisco,Muslim consumer group product list
"<img src=""media/icons/exclaim.png"" alt=""exclaim"" title=""exclaim"" width=""16"" height=""16"">",Nabisco,Muslim consumer group product list
haram,Nabisco,Muslim consumer group product list
haram,Nabisco,Muslim consumer group product list
haram,Nabisco,Muslim consumer group product list
haram,Nabisco,Muslim consumer group product list
haram,Nabisco,Muslim consumer group product list
halal,Nabisco,Muslim consumer group product list
"<img src=""media/icons/exclaim.png"" alt=""exclaim"" title=""exclaim"" width=""16"" height=""16"">",Nabisco,Muslim consumer group product list
haram,Nabisco,Muslim consumer group product list
haram,Nabisco,Muslim consumer group product list
haram,Nabisco,Muslim consumer group product list
haram,Nabisco,Muslim consumer group product list
haram,Nabisco,Muslim consumer group product list
haram,Nabisco,Muslim consumer group product list
"<img src=""media/icons/exclaim.png"" alt=""exclaim"" title=""exclaim"" width=""16"" height=""16"">",Nabisco,Muslim consumer group product list
haram,Nabisco,Muslim consumer group product list
haram,Nabisco,Muslim consumer group product list
haram,Nabisco,Muslim consumer group product list
haram,Nabisco,Muslim consumer group product list
"<img src=""media/icons/exclaim.png"" alt=""exclaim"" title=""exclaim"" width=""16"" height=""16"">",Nabisco,Muslim consumer group product list
"<img src=""media/icons/exclaim.png"" alt=""exclaim"" title=""exclaim"" width=""16"" height=""16"">",Nabisco,Muslim consumer group product list
halal,Nabisco,Muslim consumer group product list
halal,Nabisco,Muslim consumer group product list
halal,Nabisco,Muslim consumer group product list
haram,Nabisco,Muslim consumer group product list
haram,Nabisco,Muslim consumer group product list
haram,Nabisco,Muslim consumer group product list
halal,Nabisco,Muslim consumer group product list
halal,Nabisco,Muslim consumer group product list
"<img src=""media/icons/exclaim.png"" alt=""exclaim"" title=""exclaim"" width=""16"" height=""16"">",Nabisco,Muslim consumer group product list
halal,Nabisco,Muslim consumer group product list
haram,Pepperidge Farm,Muslim consumer group product list
unknown,Pepperidge Farm,Muslim consumer group product list
haram,Pepperidge Farm,Muslim consumer group product list
halal,Pepperidge Farm,Muslim consumer group product list
halal,Pepperidge Farm,Muslim consumer group product list
haram,Pepperidge Farm,Muslim consumer group product list
haram,Pepperidge Farm,Muslim consumer group product list
haram,Pepperidge Farm,Muslim consumer group product list
haram,Pepperidge Farm,Muslim consumer group product list
haram,Pepperidge Farm,Muslim consumer group product list
haram,Pepperidge Farm,Muslim consumer group product list
haram,Pepperidge Farm,Muslim consumer group product list
haram,Pepperidge Farm,Muslim consumer group product list
haram,Pepperidge Farm,Muslim consumer group product list
haram,Pepperidge Farm,Muslim consumer group product list
haram,Pepperidge Farm,Muslim consumer group product list
haram,Pepperidge Farm,Muslim consumer group product list
haram,Pepperidge Farm,Muslim consumer group product list
haram,Pepperidge Farm,Muslim consumer group product list
haram,Nabisco,Muslim consumer group product list
halal,Ritz,Muslim consumer group product list
haram,Ritz,Muslim consumer group product list
halal,Ritz,Muslim consumer group product list
haram,Ritz,Muslim consumer group product list
halal,Ritz,Muslim consumer group product list
haram,Ritz,Muslim consumer group product list
haram,Ritz,Muslim consumer group product list
haram,Ritz,Muslim consumer group product list
haram,Ritz,Muslim consumer group product list
halal,Ritz,Muslim consumer group product list
haram,Ritz,Muslim consumer group product list
haram,Ritz,Muslim consumer group product list
haram,Ritz,Muslim consumer group product list
haram,Nabisco,Muslim consumer group product list
haram,Wheat Thins,Muslim consumer group product list
haram,Wheat Thins,Muslim consumer group product list
haram,Wheat Thins,Muslim consumer group product list
haram,Wheat Thins,Muslim consumer group product list
haram,Wheat Thins,Muslim consumer group product list
haram,Wheat Thins,Muslim consumer group product list
haram,Nabisco,Muslim consumer group product list
haram,Nabisco,Muslim consumer group product list
haram,Nabisco,Muslim consumer group product list
haram,Nabisco,Muslim consumer group product list
halal,Triscuit,Muslim consumer group product list
halal,Triscuit,Muslim consumer group product list
haram,Triscuit,Muslim consumer group product list
haram,Triscuit,Muslim consumer group product list
haram,Triscuit,Muslim consumer group product list
haram,Triscuit,Muslim consumer group product list
haram,Triscuit,Muslim consumer group product list
halal,Triscuit,Muslim consumer group product list
haram,Triscuit,Muslim consumer group product list
haram,Triscuit,Muslim consumer group product list
halal,Triscuit,Muslim consumer group product list
haram,Triscuit,Muslim consumer group product list
haram,Triscuit,Muslim consumer group product list
haram,Triscuit,Muslim consumer group product list
haram,Triscuit,Muslim consumer group product list
haram,Triscuit,Muslim consumer group product list
halal,Triscuit,Muslim consumer group product list
halal,Triscuit,Muslim consumer group product list
haram,Triscuit,Muslim consumer group product list
halal,Triscuit,Muslim consumer group product list
haram,Nabisco,Muslim consumer group product list
haram,Nabisco,Muslim consumer group product list
haram,Nabisco,Muslim consumer group product list
halal,Cheez-it,Muslim consumer group product list
haram,Cheez-it,Muslim consumer group product list
halal,Cheez-it,Muslim consumer group product list
haram,Cheez-it,Muslim consumer group product list
haram,Cheez-it,Muslim consumer group product list
haram,Cheez-it,Muslim consumer group product list
halal,Cheez-it,Muslim consumer group product list
unknown,Cheez-it,Muslim consumer group product list
haram,Cheez-it,Muslim consumer group product list
haram,Cheez-it,Muslim consumer group product list
halal,Cheez-it,Muslim consumer group product list
haram,Cheez-it,Muslim consumer group product list
haram,Cheez-it,Muslim consumer group product list
haram,Cheez-it,Muslim consumer group product list
haram,Cheez-it,Muslim consumer group product list
haram,Cheez-it,Muslim consumer group product list
unknown,Cheez-it,Muslim consumer group product list
haram,Cheez-it,Muslim consumer group product list
haram,Special K,Muslim consumer group product list
haram,Special K,Muslim consumer group product list
halal,Special K,Muslim consumer group product list
haram,Special K,Muslim consumer group product list
haram,Special K,Muslim consumer group product list
haram,Special K,Muslim consumer group product list
haram,Special K,Muslim consumer group product list
halal,Special K,Muslim consumer group product list
halal,Club,Muslim consumer group product list
halal,Club,Muslim consumer group product list
halal,Club,Muslim consumer group product list
halal,Club,Muslim consumer group product list
halal,Club,Muslim consumer group product list
halal,Club,Muslim consumer group product list
halal,Club,Muslim consumer group product list
halal,Keebler,Muslim consumer group product list
halal,Keebler,Muslim consumer group product list
halal,Keebler,Muslim consumer group product list
halal,Keebler,Muslim consumer group product list
haram,Town House,Muslim consumer group product list
haram,Town House,Muslim consumer group product list
haram,Town House,Muslim consumer group product list
haram,Town House,Muslim consumer group product list
haram,Town House,Muslim consumer group product list
halal,Town House,Muslim consumer group product list
haram,Town House,Muslim consumer group product list
